"","site_ID","daily_p_TE","mean_TE","mean_sig_TE","daily_agg_TE","var_TE","sk_TE","best_lag","mem1","mem2","mem3","mem4","mem5","cv_TE","ac1_TE","RB_id_TE","H_TE"
"134","US-xBR",2.95519851830858,2.42699501510202,2.42699501510202,57.82993609935,0.065124867493178,0.0260878024815188,1,72,73,72,72,72,0.105148853581346,0.839757746154446,0.0426842972109999,6.18194107891644
"135","US-xCL",3.5345827007922,2.20553802319648,2.2265379599261,52.2829720251137,0.201169963004017,0.668133062801715,0,16,16,16,70,16,0.203360695570311,0.864345535493176,0.0824109416052028,6.16122931412752
"136","US-xCP",4.81627800086865,2.63494411183932,3.16998633447105,39.732630470813,0.529947996439315,0.931844055075276,0,8,8,8,37,8,0.276277310243067,0.863135193452474,0.10390776435889,6.13857627827982
"137","US-xDC",1.78280963021479,1.29401105485289,1.29921750107416,29.401095937914,0.0681159540503327,0.476312450940561,1,13,13,12,71,13,0.201690961040833,0.8958572335213,0.0717870298468808,6.1614626689231
"138","US-xDL",3.78486641003669,2.48059148213131,2.70033516208821,50.5530454850976,0.404479216639779,0.52496725995223,0,11,11,11,55,11,0.25638514442173,0.905449871283641,0.0844727898374844,6.1442016269105
"139","US-xDS",4.76845284462702,3.55529621329415,3.95779726788318,56.2962780240601,0.424603208723781,0.162313306574117,0,8,8,8,45,8,0.183280324717337,0.879495912676773,0.070653767443535,6.16591931136937
"140","US-xGR",2.81602013303455,2.11703451427282,2.11703451427282,50.8765508141,0.131586672311729,0.308076483717734,23,72,73,72,72,72,0.171347595210483,0.910966027815206,0.0551199528983268,6.16913084736579
"141","US-xHA",9.26389356637775,5.62697069008351,7.28052205615094,79.9191670441908,3.79568394152887,0.50364012131492,23,6,11,8,35,31,0.346234522285712,0.84393981900888,0.147213223901586,6.10630268216373
"142","US-xJE",2.5236382998982,1.67999871228784,1.69408202625066,39.9408342813106,0.114572704711993,0.954406594674753,1,40,40,39,70,40,0.201479857001767,0.82517545069469,0.0901438504803178,6.16229161920985
"143","US-xJR",1.58298683811538,1.021610554706,1.06341288487234,21.9017580442818,0.0707606085054614,0.872304768003023,0,14,14,14,64,14,0.260381670136281,0.867324003185114,0.0973150971034153,6.14396381887437
"144","US-xKA",3.3033180568562,2.50428435750237,2.50428435750237,59.4927914160685,0.159703298838784,0.597458117792871,0,72,73,72,72,72,0.15957810472081,0.880736941568134,0.0577411724416651,6.17212736770457
"145","US-xKZ",2.6969374604812,1.71879785478901,1.80985414,39.3371837055598,0.206859590499433,0.407653574562553,0,14,14,14,63,14,0.264614127675791,0.896719221813723,0.0871019145337558,6.14059750632393
"146","US-xMB",3.12937599568153,2.16655614809512,2.17678253172796,52.8757338841151,0.215959944816557,0.670711483344793,23,62,62,39,71,62,0.214494744315439,0.87275944616892,0.0865006232643234,6.15819666106602
"147","US-xML",3.3911071137208,2.06648024419125,2.08911019372909,50.0328355916842,0.422272696761372,0.648957680465243,0,62,62,62,70,62,0.314459879139049,0.931718801317076,0.0866684820293099,6.12237152396511
"148","US-xNG",3.34958090726371,2.19662788025628,2.19662788025628,52.5323361892024,0.472874333758906,0.415849486200862,0,72,73,72,72,72,0.313051925753963,0.935291602919449,0.0881894838345082,6.12106431699423
"149","US-xNQ",5.58203606748724,4.65611084558264,4.65611084558264,110.834056609665,0.413824369973709,0.174155552199452,0,72,73,72,72,72,0.138160762205317,0.835300935350452,0.0627752212633004,6.17626888128471
"150","US-xRM",2.16058028483029,1.45447744996012,1.48942304917147,33.9545035003384,0.081082753849391,0.635636012370578,0,15,15,15,66,15,0.195775009095554,0.865088416965874,0.079559671912604,6.16329880192888
"151","US-xSB",3.40237118587463,2.28130690813366,2.35117617732063,50.7774669794371,0.294889603131269,0.801402949708123,23,13,21,14,65,37,0.238037847761226,0.905209286461719,0.0800670067963581,6.15130359788178
