"","Site_ID","p_TE_psi_to_ET","p_lag_psi_to_ET","mem_psi_to_ET","agg_TE_psi_to_ET","period_psi_to_ET","p_TE_VPD_to_ET","p_lag_VPD_to_ET","mem_VPD_to_ET","agg_TE_VPD_to_ET","period_VPD_to_ET","p_TE_TA_to_ET","p_lag_TA_to_ET","mem_TA_to_ET","agg_TE_TA_to_ET","period_TA_to_ET","p_TE_ET_to_psi","p_lag_ET_to_psi","mem_ET_to_psi","agg_TE_ET_to_psi","period_ET_to_psi","p_TE_VPD_to_psi","p_lag_VPD_to_psi","mem_VPD_to_psi","agg_TE_VPD_to_psi","period_VPD_to_psi","p_TE_TA_to_psi","p_lag_TA_to_psi","mem_TA_to_psi","agg_TE_TA_to_psi","period_TA_to_psi","p_TE_ET_to_VPD","p_lag_ET_to_VPD","mem_ET_to_VPD","agg_TE_ET_to_VPD","period_ET_to_VPD","p_TE_psi_to_VPD","p_lag_psi_to_VPD","mem_psi_to_VPD","agg_TE_psi_to_VPD","period_psi_to_VPD","p_TE_TA_to_VPD","p_lag_TA_to_VPD","mem_TA_to_VPD","agg_TE_TA_to_VPD","period_TA_to_VPD","p_TE_ET_to_TA","p_lag_ET_to_TA","mem_ET_to_TA","agg_TE_ET_to_TA","period_ET_to_TA","p_TE_psi_to_TA","p_lag_psi_to_TA","mem_psi_to_TA","agg_TE_psi_to_TA","period_psi_to_TA","p_TE_VPD_to_TA","p_lag_VPD_to_TA","mem_VPD_to_TA","agg_TE_VPD_to_TA","period_VPD_to_TA","GS"
"21","US-ARc",NA,NA,NA,NA,NA,5.7890918461427,0,12,68.3655575972989,24,5.1373866642425,0,12,63.8563056653651,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49747608028966,0,11,56.3477386422629,24,NA,NA,NA,NA,NA,17.7631534669569,0,13,73.05437057912,NA,4.26312282049478,0,5,16.5752775258943,24,NA,NA,NA,NA,NA,14.181965787838,0,3,21.5670389067156,NA,"NGS"
"22","US-ARM",0.285359479549095,0,72,5.22851477151676,24,3.13505075090316,0,72,17.4641168448853,24,2.36408635224653,0,72,10.8005465351315,NA,0.979256835207686,0,72,15.5894089793048,24,1.00846658474572,0,72,16.7308544182142,24,0.940481335411799,0,72,14.2360105112499,24,3.77782047904674,0,72,17.7695284616852,24,0.279405634126188,0,72,4.76691332787321,NA,19.0379251129316,0,72,28.4492699037106,NA,2.35261562037205,0,40,9.07614612146921,NA,0.216049021607657,0,3,2.84035161246056,NA,15.1456137398849,0,72,22.3620933818809,NA,"FT"
"23","US-ARM",0.278291571692344,5,2,2.61464723249036,27,3.10727955345466,0,72,20.7442077910812,12,3.3693936793383,0,72,16.876802504756,NA,1.55935204757289,10,72,35.0910503493036,6.17142857142857,2.43093729983278,0,72,46.6306465983161,24,2.94093413862373,0,72,44.2349350496002,NA,3.79303167548746,0,72,21.2067618518147,12,0.357036967610324,0,72,6.75407357193981,24,22.4947267059863,0,72,35.8351869374515,NA,3.35924785219246,0,17,14.4424413038194,NA,0.403798291977301,0,5,4.06103140177895,12,19.3265593648685,0,18,30.6535880227112,NA,"GS"
"24","US-ARM",0.388618755038701,23,40,7.32947055956502,24,2.9801435987806,0,72,22.1099695832845,24,2.16451885045068,0,72,15.2765224835739,NA,1.9181910387397,0,72,35.9793667437515,24,1.77136541325385,8,72,38.9553841462837,NA,2.21819440314187,0,72,41.7867856963939,24,3.3702374062356,0,72,19.0475437234596,24,0.255973831280673,11,11,4.50596469232075,NA,18.720533276493,0,72,31.5487909092026,NA,2.03472229092635,0,72,11.2446949674582,NA,0.269660146167634,0,2,0.702862684580712,24,14.9362399302559,0,72,24.7366459781796,NA,"NGS"
"25","US-ASH",NA,NA,NA,NA,NA,11.8063150913937,0,9,131.402281730618,24,8.55763330233626,0,6,94.9713137417301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95618860022256,0,6,46.8643558395751,24,NA,NA,NA,NA,NA,21.4027467707512,0,1,107.730196341612,NA,3.7901978889235,0,1,16.728630398707,24,NA,NA,NA,NA,NA,21.1576803495966,0,3,83.8660217643871,NA,"FT"
"26","US-ASH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6673107873976,0,1,56.3887670119282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9781959043733,0,1,44.4854389952003,NA,"GS"
"27","US-ASH",NA,NA,NA,NA,NA,14.732325298539,0,7,148.457879417674,NA,12.9785127667816,10,2,161.783318708909,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73318268995591,0,2,11.9106275891137,21.6,NA,NA,NA,NA,NA,20.2529832902743,0,1,52.0155100449581,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,18.9934716812042,0,1,29.1510045476451,NA,"NGS"
"28","US-ASM",NA,NA,NA,NA,NA,10.2230753845572,0,72,177.959235995639,24,7.67715032435217,5,8,129.586385483609,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.95627134931992,0,16,154.370742954324,24,NA,NA,NA,NA,NA,22.3180596760652,0,24,176.716299029746,NA,7.02576904179839,18,2,37.2552553494928,24,NA,NA,NA,NA,NA,21.1377655812814,0,1,39.7434893608377,NA,"FT"
"29","US-ASM",NA,NA,NA,NA,NA,12.3685448455072,0,9,178.376089752396,24,11.9732668188729,3,8,145.499068174626,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1131257431444,0,5,77.9255415850837,24,NA,NA,NA,NA,NA,28.7520487619994,0,1,182.66940161969,NA,9.21262606468502,16,1,26.8861983793933,24,NA,NA,NA,NA,NA,25.9882655160979,0,1,35.7256066242949,NA,"GS"
"30","US-ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGS"
