,site_id,longitude.x,latitude.x,mukey,OBJECTID,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,X,site_name,data_policy,data_start,data_end,latitude.y,longitude.y,elevation,timezone,avg_air_temp_degC,avg_precip_mm,IGBP_veg,Koppen_clim_class,soil_texture,Description,porosity,psi.ae,lamda,Sf,SOS,EOS,LGS,CH_GLAD,AI_gridded,RD
29,US-CS8,-89.5364,44.4338,426550,64546,100,R,85.66052632,8.378947368,5.960526316,29,Central Sands Irrigated Agricultural Field,CCBY4.0,2023,2023,44.4338,-89.5364,328,America/Chicago,7,830,CRO,Dfa,2,Loamy sand,0.41,9,0.553,6.13,5/9/2015,9/18/2015,132,0,0.808876137,1.325089423
30,US-Cst,-91.9204,33.0442,565080,271409,100,R,9.348087432,68.29672131,22.35519126,30,Crossett Experimental Forest,CCBY4.0,2013,2017,33.0442,-91.9204,50,America/Chicago,17.4,1410,ENF,Cfa,4,Silt loam,0.485,78.6,0.234,16.68,4/15/2015,9/26/2015,164,20.34,0.961785026,1.888355133
31,US-DFC,-89.7117,43.3448,423177,82785,100,R,49.31315789,29.46315789,21.22368421,31,"US Dairy Forage Research Center, Prairie du Sac",CCBY4.0,2018,2024,43.3448,-89.7117,264.9,America/Chicago,7.65,787,CRO,Dfb,4,Silt loam,0.485,78.6,0.234,16.68,5/9/2015,9/18/2015,132,0,0.990852271,2.542604743
32,US-DS3,-121.549,38.1235,462117,204199,100,R,46.47960526,23.09276316,30.42763158,32,Staten Rice 1,CCBY4.0,2021,2025,38.1235,-121.549,-7,America/Los_Angeles,16,432,CRO,Csa,9,Clay loam,0.476,63,0.242,20.88,6/18/2015,9/18/2015,92,0,0.38815728,1.99142042
33,US-Fmf,-111.7273,35.1426,1864255,248334,100,R,43.89326829,34.71057405,21.39615766,33,Flagstaff - Managed Forest,CCBY4.0,2005,2010,35.1426,-111.7273,2160,America/Phoenix,9.5,546,ENF,Csb,6,Loam,0.451,47.8,0.252,8.89,3/26/2015,11/17/2015,236,15.77,0.246361006,2.787793926
34,US-Fuf,-111.762,35.089,1864255,248334,100,R,43.89326829,34.71057405,21.39615766,34,Flagstaff - Unmanaged Forest,CCBY4.0,2005,2010,35.089,-111.762,2180,America/Phoenix,8.7,562,ENF,Csb,6,Loam,0.451,47.8,0.252,8.89,3/30/2015,10/24/2015,208,9.25,0.228305159,2.777398725
35,US-Fwf,-111.7718,35.4454,1864255,248334,100,R,43.89326829,34.71057405,21.39615766,35,Flagstaff - Wildfire,CCBY4.0,2005,2010,35.4454,-111.7718,2270,America/Phoenix,8.4,557,GRA,Csb,6,Loam,0.451,47.8,0.252,8.89,5/5/2015,10/16/2015,164,0,0.170558624,3.828775171
36,US-GLE,-106.2399,41.3665,NA,NA,NA,NA,59.206585,26.20955527,14.58385972,36,GLEES,CCBY4.0,1999,2020,41.3665,-106.2399,3197,America/Denver,0.8,1200,ENF,Dfc,3,Sandy loam,0.435,21.8,0.378,11.01,6/10/2015,9/22/2015,104,14.95,0.322544588,1.101294983
37,US-Ha1,-72.1715,42.5378,278708,103721,100,R,69.98093488,24.19911025,5.819954868,37,Harvard Forest EMS Tower (HFR1),CCBY4.0,1991,2024,42.5378,-72.1715,340,America/New_York,6.62,1071,DBF,Dfb,3,Sandy loam,0.435,21.8,0.378,11.01,5/13/2015,10/12/2015,152,22.35,1.427545517,2.435379352
38,US-HB2,-79.244,33.3242,639570,269765,100,R,94.89939394,1.118787879,3.981818182,38,Hobcaw Barony Mature Longleaf Pine,CCBY4.0,2019,2019,33.3242,-79.244,4.7,America/New_York,18.3,1429,ENF,Cfa,1,Sand,0.395,12.1,0.694,4.95,2/6/2015,10/20/2015,256,18,1.115629435,0.820688635
39,US-HB3,-79.2322,33.3482,639588,269783,100,R,94.99852217,0.6,4.401477833,39,Hobcaw Barony Longleaf Pine Restoration,CCBY4.0,2019,2022,33.3482,-79.2322,7.3,America/New_York,18.3,1429,ENF,Cfa,1,Sand,0.395,12.1,0.694,4.95,3/22/2015,10/28/2015,220,0,1.04791919,0.841605872
40,US-Hn2,-119.4641,46.6889,NA,NA,NA,NA,86.87207438,6.589758723,6.538166893,40,Hanford 100H grassland,CCBY4.0,2015,2018,46.6889,-119.4641,117.5,America/Los_Angeles,12.8,197,GRA,Bsk,1,Sand,0.395,12.1,0.694,4.95,2/22/2015,9/26/2015,216,0,0.273061297,7.760102229
41,US-Hn3,-119.4614,46.6878,NA,NA,NA,NA,86.87207438,6.589758723,6.538166893,41,Hanford 100H sagebrush,CCBY4.0,2017,2018,46.6878,-119.4614,120.9,America/Los_Angeles,12.8,197,OSH,Bsk,1,Sand,0.395,12.1,0.694,4.95,2/18/2015,9/30/2015,224,0,0.272499727,7.791439644
42,US-Ho1,-68.7402,45.2041,285250,47734,86,U,64.57393939,28.80787879,6.618181818,42,Howland Forest (main tower),CCBY4.0,1996,2024,45.2041,-68.7402,60,America/New_York,5.27,1070,ENF,Dfb,3,Sandy loam,0.435,21.8,0.378,11.01,4/7/2015,10/8/2015,184,14.1,1.723043164,1.184688028
43,US-Ho2,-68.747,45.2091,285235,47719,88,U,29.89272727,55.41553719,14.69173554,43,Howland Forest (west tower),CCBY4.0,1999,2024,45.2091,-68.747,61,America/New_York,5.13,1064,ENF,Dfb,3,Sandy loam,0.435,21.8,0.378,11.01,4/7/2015,10/4/2015,180,16,1.727904914,1.187876937
44,US-HWB,-77.8488,40.8608,538293,136597,100,R,11.90600084,49.09187679,39.00212237,44,USDA ARS Pasture Sytems and Watershed Management Research Unit- Hawbecker Site,CCBY4.0,2015,2018,40.8608,-77.8488,378,America/New_York,10.1,1006.35,CVM,Dfb,6,Loam,0.451,47.8,0.252,8.89,4/23/2015,10/8/2015,168,0,1.13832104,3.641097035
45,US-Jo1,-106.635,32.582,NA,NA,NA,NA,17.30220957,49.22537412,33.47241631,45,Jornada Experimental Range Bajada Site,CCBY4.0,2010,2022,32.582,-106.635,1188,America/Denver,14.7,245.1,OSH,Bwk,8,Silty clay loam,0.477,35.6,0.177,27.3,2/2/2015,11/17/2015,288,0,0.054977269,3.897263515
46,US-Jo2,-106.6032,32.5849,NA,NA,NA,NA,17.30220957,49.22537412,33.47241631,46,Jornada Experimental Range Mixed Shrubland,CCBY4.0,2010,2020,32.5849,-106.6032,1469,America/Denver,17.5,282.3,OSH,Bwk,8,Silty clay loam,0.477,35.6,0.177,27.3,2/2/2015,11/17/2015,288,0,0.060231941,3.432047953
47,US-KFS,-95.1907,39.0561,1480051,177915,90,U,2.075,60.215,37.71,47,Kansas Field Station,CCBY4.0,2007,2019,39.0561,-95.1907,310,America/Chicago,12,1014,GRA,Cfa,8,Silty clay loam,0.477,35.6,0.177,27.3,4/23/2015,10/8/2015,168,0,0.766481561,3.465769476
48,US-KLS,-97.5684,38.7745,1382189,186786,99,R,9.217105263,66.01973684,24.76315789,48,Kansas Land Institute,CCBY4.0,2012,2019,38.7745,-97.5684,373,America/Chicago,12,812,GRA,Cfa,8,Silty clay loam,0.477,35.6,0.177,27.3,4/15/2015,10/12/2015,180,0,0.496330441,4.369581316
