"","Site_ID","AI","EI"
"44","US-HWB",0.0675837372864443,1.05395957699633
"45","US-Jo1",NA,2.48847816761133
"46","US-Jo2",0.011685303447485,2.02853673338468
"47","US-KFS",0.0261682805585943,1.94548719745216
"48","US-KLS",0.0145888808606845,3.6794018086782
"49","US-Kon",0.0297939279280598,1.97477932715891
"50","US-KS1",0.0622450665952117,1.51285951245336
"51","US-KS2",0.0972469566651247,1.56593378226646
"52","US-Lin",0.0136395404106275,2.13240514401692
"53","US-LS2",0.00698890819827437,5.05089735025092
"54","US-Me1",0.0197562032733831,3.05953043405207
"55","US-Me2",0.0309229008808205,2.21297848787651
"56","US-Me3",0.0199498181744176,2.7250006899817
"57","US-Me6",0.0174218602571095,2.34515379909686
"58","US-MMS",0.104535314864744,0.472345151594516
"59","US-Mo1",0.0509372534429508,1.36328221385085
"60","US-Mo2",0.0557420327824845,1.64734507820964
"61","US-Mo3",0.0696568761968679,1.15629729795927
"62","US-MOz",0.0492195861377155,1.33726923581273
"63","US-Mpj",0.0232329404331938,2.21242792013079
"64","US-NC1",0.0915608350600261,1.7418110361449
"65","US-NC3",0.153258113269117,1.27744009313047
"66","US-Ne1",NA,NA
"67","US-NR1",0.0437525136864911,2.41225191723395
"68","US-Oho",0.0357719678472049,1.57895190905146
"69","US-ONA",0.051973555464395,1.97246893593713
"70","US-PFb",NA,NA
"71","US-PFc",NA,NA
"72","US-PFk",NA,NA
"73","US-PFL",NA,NA
"74","US-PFm",NA,NA
"75","US-PFn",NA,NA
"76","US-PFp",NA,NA
"77","US-PFq",NA,NA
"78","US-PFt",NA,NA
"79","US-PSH",NA,NA
"80","US-PSL",NA,NA
"81","US-RGA",0.0371424949725164,1.35301764154346
"82","US-RGB",0.00997987805942363,4.19675979948918
"83","US-RGF",0.00492440038283183,11.2833417045689
"84","US-RGo",0.00965094990972867,3.10312613098819
"85","US-RGW",0.0563515661191136,1.43740964780604
"86","US-Rls",NA,NA
"87","US-Rms",NA,NA
"88","US-Ro1",0.0548438449971613,1.36937201099842
"89","US-Ro2",0.0957087764553106,1.38800963553161
"90","US-Ro3",0.0437917697778545,1.43345445449492
"91","US-Ro4",0.0407546178951661,0.9179171739232
"92","US-Ro5",0.0587590613685331,1.01636109338767
"93","US-Ro6",0.0646321671663407,1.22731732542473
"94","US-Rwe",NA,NA
"95","US-Rwf",NA,NA
"96","US-Rws",NA,NA
"97","US-Seg",0.00620295472155482,1.96382931974717
"98","US-Ses",0.00912381181712265,2.06393173271584
"99","US-Sne",0.0174699564719723,6.91234996877129
"100","US-Snf",0.0115592873141689,4.56078174282842
"101","US-SP1",NA,NA
"102","US-SRC",0.0105865869971047,1.88791658260773
"103","US-SRG",0.00934994961489256,2.07007951599232
"104","US-SRM",0.0178409669239003,1.92303799299448
"105","US-SRS",0.0229169785256935,1.96224496028414
"106","US-SSH",0.0627239943024841,1.05889273483252
"107","US-Syv",NA,NA
"108","US-Ton",0.0382266322714635,1.43169941111677
"109","US-Tw2",NA,NA
"110","US-Tw3",0.00773024756457145,10.914950810709
"111","US-UC1",0.0805387246912285,0.985322481164453
"112","US-UC2",0.0790133319477484,1.04812985766652
"113","US-UMB",0.0474758561243125,1.33804305792703
"114","US-UMd",NA,NA
"115","US-UTB",0.00826624413158129,5.64841577908914
"116","US-Var",0.0197651464141641,1.08430768431613
"117","US-Vcm",0.0259761069782123,2.04027930425247
"118","US-Vcp",0.0196871858653785,2.54340888521949
"119","US-Whs",0.0140715492777233,1.84492605071965
"120","US-Wi0",0.0889032326260235,1.40832035110989
"121","US-Wi1",0.0185254029992882,3.8989742859785
"122","US-Wi3",0.0424001325579801,1.86310091824695
"123","US-Wi4",0.0558823078235592,1.54700021035452
"124","US-Wi5",0.0516438530227371,1.42333047780029
"125","US-Wi6",0.0985965653516785,1.07820259467861
"126","US-Wi7",0.129686083393308,1.08916452009097
"127","US-Wi8",0.0770206903549301,1.11398451790685
"128","US-Wi9",0.0648449066818885,1.35776844964949
"129","US-Wjs",0.00805857014977633,2.19968382256309
"130","US-Wkg",0.0106995985785848,1.90701072681119
"131","US-xAB",0.130722708272103,0.400691296674923
"132","US-xAE",0.0486966744170732,0.729348703016299
"133","US-xBL",0.050033074050756,1.08826517776443
"134","US-xBR",0.0479785723653236,0.939481233751519
"135","US-xCL",0.0167935421131025,0.915499263850386
"136","US-xCP",0.0348888070632884,1.15224393874475
"137","US-xDC",0.0198012932264896,2.18244323571913
"138","US-xDL",0.0599097531993459,1.20301156689743
"139","US-xDS",0.0499873374980124,1.03340263699053
"140","US-xGR",0.0553394706452733,1.05118546942841
"141","US-xHA",0.0507622524279606,0.72912616366658
"142","US-xJE",0.0543650611069966,1.08336403203204
"143","US-xJR",0.00649450765612642,2.61317069291406
"144","US-xKA",0.0344687965159101,1.03577588218452
"145","US-xKZ",0.0285027572432363,1.37667743250724
"146","US-xMB",0.00942375927486469,2.65260874554779
"147","US-xML",0.0446846980248114,0.727349119140516
"148","US-xNG",0.00875223277086467,4.60495704306352
"149","US-xNQ",0.0143379012228397,1.12243474341001
"150","US-xRM",0.0150715353549198,3.26960081782214
"151","US-xSB",0.057222790908048,0.968570630851018
"152","US-xSC",0.0151171515284594,1.17984701282297
"153","US-xSE",0.0509078715101025,0.874027135377082
"154","US-xSJ",0.0166611385351402,0.713263724666235
"155","US-xSL",0.0135729392992116,1.97988632884528
"156","US-xSR",0.006251971861878,2.20909712625954
"157","US-xST",0.0512282474567518,1.23972242887345
"158","US-xTA",0.0491064293821872,0.991612858217747
"159","US-xTR",0.0508376930398729,1.24975800020197
"160","US-xUK",0.0287563972331181,1.09253877837638
"161","US-xUN",0.0456436011302989,1.14030513908907
"162","US-xWD",1.50078402123663,0.0246963173575113
"163","US-xYE",0.0237874021708386,2.18791399761051
