"","site_id","AI","CH","RD","TSand"
"106","US-SSH",0.435753076339407,14.1157836867584,4.05234604375134,42.8872424779277
"107","US-Syv",0.48726096912156,15.1524821258864,2.69425180362325,74.4982772080588
"108","US-Ton",0.158998379667254,3.32254211501912,7.22188666675749,46.8241756034924
"109","US-Tw2",0.0748283663963275,0.286938921892941,2.65232747626931,37.4992237893842
"110","US-Tw3",0.0749942578405992,0.262196710933219,2.65038636783782,37.9691412934325
"111","US-UC1",0.460749172163752,14.0647237928897,3.43437125816971,42.9763872006686
"112","US-UC2",0.460505133344443,14.0505741885189,3.45072597259111,42.9736345366994
"113","US-UMB",0.478416648493615,13.0016423178112,2.67327685605538,75.8836482500394
"114","US-UMd",0.475759698636812,12.927117089519,2.70917811577517,74.9038164364118
"115","US-UTB",0.0853645375136048,0,0.50402598604863,16.1527363769846
"116","US-Var",0.159232552025076,3.34747931813794,7.1538423307604,46.8324643779474
"117","US-Vcm",0.153516060016187,6.00033369591856,2.38207282289514,38.5224177418979
"118","US-Vcp",0.141550675018837,7.12596976446896,2.52059949213629,37.7859335113746
"119","US-Whs",0.0837111736931944,0.110318314760969,1.92339018678201,50
"120","US-Wi0",0.481573330431885,13.7221142928389,3.39187888502725,62.0570444974979
"121","US-Wi1",0.485746041476172,13.2640474509205,3.16433146302881,47.275966223967
"122","US-Wi3",0.48702160468966,13.8737105487687,3.41715949988674,61.9518271431059
"123","US-Wi4",0.496736132133568,13.994209644671,3.20005835169945,47.9593452598384
"124","US-Wi5",0.488010638412592,13.9895773530605,3.36564716471574,58.6480945909746
"125","US-Wi6",0.461708553677276,14.1570231309473,3.14119643217643,56.2315344253172
"126","US-Wi7",0.484442644801509,13.9019377841765,3.3447528852451,57.7013501026985
"127","US-Wi8",0.481738057865321,13.1313309312276,3.15533681736215,47.6443088417344
"128","US-Wi9",0.499785682360851,14.6883178723862,3.2306507188382,47.8499898881599
"129","US-Wjs",0.0749490401405137,0.0739048115358694,6.06045884223105,47.364857109836
"130","US-Wkg",0.0810383570310594,0.172327074354495,2.16479007396644,50
"131","US-xAB",0.977449058564063,18.569598964584,4.78392541611802,46.6388480373297
"132","US-xAE",0.0907550724290038,0.120122871677118,7.21698584506371,36.0563176328655
"133","US-xBL",0.286779911023983,9.68528459962649,4.0905723763838,45.4932594873081
"134","US-xBR",0.716465399764054,16.9285585947324,2.18001260651482,85
"135","US-xCL",0.135754629279926,1.96072084921438,7.15901560596805,34.7370559859793
"136","US-xCP",0.0723817986441737,0.0101541564280473,4.20705184454726,36.0054244663761
"137","US-xDC",0.205644642624384,0.0323868339843644,3.73052222459513,23.3462000472558
"138","US-xDL",0.310038071799794,13.3175326032363,3.559709490754,35.8795537442841
"139","US-xDS",NA,5.43575620209442,0.579074113426947,75.9603376339621
"140","US-xGR",0.494167751009259,22.8141222007466,1.49993674893572,47.8108439788678
"141","US-xHA",0.495022195902291,17.1235403025591,2.43585484536113,82.8076162346054
"142","US-xJE",0.168128072546982,6.27471505507419,0.887494531084038,75.0953501046525
"143","US-xJR",0.0630043612993304,0.0199950790749302,7.10441102779152,46.7450602972875
"144","US-xKA",0.154261619554461,1.11838349751226,5.27316013721531,38.8524498102162
"145","US-xKZ",0.156984055481571,1.04391326825379,5.74072507275304,38.797186525574
"146","US-xMB",0.100410967989933,1.03307788514712,2.58735097132477,40.2671116866024
"147","US-xML",0.368462000493461,18.9349945358337,5.26253705836856,43.0670116715384
"148","US-xNG",0.133944306731822,0.0682999658156501,2.6383315936326,41.8628204274347
"149","US-xNQ",0.16488496067621,0.387335718591298,3.9929757763843,43.9248663999745
"150","US-xRM",0.341597793967443,7.56231045834211,0.926886908656152,37.0264167328677
"151","US-xSB",0.314637900393521,12.0316394907354,1.22072175173576,79.2203351915986
"152","US-xSC",0.325465550043454,16.0477071173071,5.55061608657368,47.4260130512837
"153","US-xSE",0.413102521221384,10.769268561975,2.0940457651478,71.4345939562085
"154","US-xSJ",0.121113125070844,2.15400467720093,8.36815487977647,46.9623434335438
"155","US-xSL",0.0530686157848642,0.00339676476250444,4.34738593012168,62.2597794637799
"156","US-xSR",0.069259515312453,0.32406475456039,2.60791690464867,54.6796126244065
"157","US-xST",0.420826893246607,14.1164192390327,3.97454712349005,77.7290448205425
"158","US-xTA",0.344357699583093,17.0643617828561,8.5129134671088,47.2613682130477
"159","US-xTR",0.414830135921937,14.0530417183239,3.97722988323296,76.7606446640383
"160","US-xUK",0.213296598857712,3.43493444872024,3.42643418549849,35.0082553147567
"161","US-xUN",0.499185330684772,15.1152669420196,2.83488169075109,79.4376193155247
"162","US-xWD",0.201501527332593,0.021324309192918,4.01686206727746,27.6627393751678
"163","US-xYE",0.584373325794222,7.69585396822229,1.38673571809892,37.7128954277964
