"","Site_ID","n_sample","AI","PFT","latitude","longitude","elevation","AI_level"
"132","US-Vcm",5059,0.381838864139368,"ENF",35.8884,-106.5321,3030,"Semiarid"
"133","US-Vcp",5791,0.353784908010537,"ENF",35.8642,-106.5967,2500,"Semiarid"
"134","US-WPT",1093,Inf,"WET",41.4646,-82.9962,175,"Humid"
"135","US-Whs",4930,0.244486907778075,"OSH",31.7438,-110.0522,1370,"Semiarid"
"136","US-Wi0",200,0.94657877936807,"ENF",46.6188,-91.0814,349,"Humid"
"137","US-Wi1",189,0.162306153266763,"DBF",46.7305,-91.2329,352,"Arid"
"138","US-Wi3",571,0.586441559365672,"DBF",46.6347,-91.0987,411,NA
"139","US-Wi4",722,0.760434343165939,"ENF",46.7393,-91.1663,352,"Humid"
"140","US-Wi5",237,0.945897037543777,"ENF",46.6531,-91.0858,353,"Humid"
"141","US-Wi6",352,0.83606088108155,"OSH",46.6249,-91.2982,371,"Humid"
"142","US-Wi7",172,1.22337527475179,"OSH",46.6491,-91.0693,335,"Humid"
"143","US-Wi8",176,0.860785462617972,"DBF",46.7223,-91.2524,348,"Humid"
"144","US-Wi9",346,0.970347609601213,"ENF",46.7385,-91.0746,350,"Humid"
"145","US-Wkg",6450,0.155846770060991,"GRA",31.7365,-109.9419,1531,"Arid"
"146","US-xAB",2012,3.51944380596235,"ENF",45.7624,-122.3303,363,"Humid"
"147","US-xAE",973,0.966959022752072,"GRA",35.4106,-99.0588,516,"Humid"
"148","US-xBL",659,0.932254519348958,"DBF",39.0603,-78.0716,183,"Humid"
"149","US-xBR",1550,1.19797414093537,"DBF",44.0639,-71.2873,232,"Humid"
"150","US-xCL",985,0.154770182229772,"GRA",33.4012,-97.57,259,"Arid"
"151","US-xCP",1303,0.0223801644462735,"GRA",40.8155,-104.7456,1654,"Hyperarid"
"152","US-xDC",1482,0.430504871886529,"GRA",47.1617,-99.1066,559,"Semiarid"
"153","US-xDL",1153,1.41229799106857,"MF",32.5417,-87.8039,22,"Humid"
"154","US-xDS",965,0.791128815448384,"CVM",28.125,-81.4362,15,"Humid"
"155","US-xGR",883,1.19112474189759,"DBF",35.689,-83.5019,579,"Humid"
"156","US-xHA",1480,1.89892889213193,"DBF",42.5369,-72.1727,351,"Humid"
"157","US-xJE",1141,1.24725926060815,"ENF",31.1948,-84.4686,44,"Humid"
"158","US-xJR",2172,0.114296254916422,"OSH",32.5907,-106.8425,1329,"Arid"
"159","US-xKA",1272,0.541265863132963,"GRA",39.1104,-96.6129,1329,NA
"160","US-xKZ",1457,0.286920689017842,"GRA",39.1008,-96.5631,381,"Semiarid"
"161","US-xMB",708,0.105907258369375,"OSH",38.2483,-109.3883,1767,"Arid"
"162","US-xML",857,1.61469101981409,"DBF",37.3783,-80.5248,1126,"Humid"
"163","US-xNG",1458,0.130043486123326,"GRA",46.7697,-100.9154,578,"Arid"
"164","US-xNQ",822,0.141578901160375,"OSH",40.1776,-112.4524,1685,"Arid"
"165","US-xRM",1500,0.342943248766492,"ENF",40.2759,-105.5459,2743,"Semiarid"
"166","US-xSB",794,1.20832878469388,"ENF",29.6893,-81.9934,45,"Humid"
"167","US-xSC",417,0.876184704210469,"DBF",38.8929,-78.1395,361,"Humid"
"168","US-xSE",1098,1.02785438327941,"DBF",38.8901,-76.56,15,"Humid"
"169","US-xSJ",807,0.00499795762335642,"SAV",37.1088,-119.7323,368,"Hyperarid"
"170","US-xSL",1882,0.175127483794415,"CRO",40.4619,-103.0293,1364,"Arid"
"171","US-xSR",1202,0.161575388131851,"OSH",31.9107,-110.8355,983,"Arid"
"172","US-xST",1518,1.17072616429121,"DBF",45.5089,-89.5864,481,"Humid"
"173","US-xTA",1386,1.58073132035066,"ENF",32.9505,-87.3933,135,"Humid"
"174","US-xTR",1493,0.775158998414621,"DBF",45.4937,-89.5857,472,"Humid"
"175","US-xUK",1215,1.07019510287687,"DBF",39.0404,-95.1921,335,"Humid"
"176","US-xUN",1607,1.29860312400356,"MF",46.2339,-89.5373,518,"Humid"
"177","US-xWD",2076,0.226871040092986,"GRA",47.1282,-99.2414,579,"Semiarid"
"178","US-xYE",899,0.217448560331117,"ENF",44.9535,-110.5391,2116,"Semiarid"
